タイムスタンプ,誕生日を教えてください。,「ハニカミ王子」とは、男子プロゴルフツアーに15歳８カ月の最年少記録で優勝したの石川遼選手の愛称のことである。,「エロカッコイイ（エロカワイイ）」とは、ボンデージにバニーガール、下着など、際どい衣装で一気に人気者になった倖田來未を指した言葉である。,シンジラレナ〜イとは、パ・リーグ制覇時に日本ハムファイターズのヒルマン監督がお立ち台で絶叫した言葉である。,ハンカチ王子とは、当時の早稲田実業の斎藤佑樹投手の通称である。,ミクシィとは、2006年日本で最大の会員を獲得したSNSである。,小泉劇場とは、小泉純一郎が内閣総理大臣在任中に用いた劇場型といわれる2005年の政治手法のことを指す俗語である。,「想定内（外）」とは、その負けず嫌いな性格からフジVSライブドア騒動の中で連発し2005年に流行したが、この言葉を発したのは堀江貴文である。,ちょいモテオヤジとは、男性向けファッション雑誌『LEON』（主婦と生活社）で2002年に特集された「モテるオヤジの作り方」を発祥とする言葉で、女性から好感を得ることを目的としてオシャレに気を遣う中年男性のことである。,「フォーー！」とは、ハードゲイに扮した住谷がテレビで披露した芸だが、そのハードゲイの名前はレイザーラモンHGである。,「ボビーマジック」とは、2005年プロ野球日本一に輝いた千葉ロッテ・マリーンズのボビー・バレンタイン監督の采配、選手起用等への賛辞した言葉である。,アニマル浜口が娘の浜口京子をアテネ五輪に送り出すときに成田空港で10回連続で言った言葉は「気合だー！」である。,「セカチュー」とは、日本の小説家・片山恭一の青春恋愛小説である『世界の中心で、愛をさけぶ』の略である。,「…って言うじゃない…」とは、ギター侍こと波田陽区が、ギャグの転調時にはさむ言葉である。,冬ソナとは、2003年〜2004年に日本で放送され、大ブームを巻き起こし韓流ドラマが認知されるきっかけとなったドラマである。,「勝ちたいんや！」とは、2003年に４シーズン連続最下位だった阪神をリーグ優勝へ導いた星野仙一監督がその年に言った言葉である。,バカの壁とは、東京大学名誉教授・養老孟司の著書。新潮新書編集部の口述筆記による著作である。,「へぇ〜」とは、無駄な知識（トリビア）にうんちくを傾ける雑学バラエティー「トリビアの泉」から流行した言葉である。,タマちゃんとは、東京都と神奈川県を分ける多摩川丸子橋付近で“突然”発見されたアゴヒゲアザラシである。,声に出して読みたい日本語とは、明治大学文学部教授の斎藤孝の著作である。,真珠夫人とは、戦後の混乱期を舞台に、旧華族令嬢の波乱に満ちた悲恋を描いて、主婦層を中心に真珠夫人ブームを起こしたテレビドラマである。,ダブル受賞とは、小柴 昌俊 さん、田中 耕一 さんが同年にノーベル賞を受賞したことで流行した言葉である。,「e-ポリティックス」とは、インターネットを利用した政治のことで、２００１年６月創刊の小泉内閣メールマガジンに、創刊時に計１００万件以上の申し込みが殺到したことで普及した言葉である。,「ヤだねったら、ヤだね」とは、2000年にリリースされた、演歌歌手・氷川きよしが歌う『箱根八里の半次郎』の歌詞から流行語化した言葉である。,「人間って、なかなか死なないもんだなぁ」とは、2001年、長崎県の漁師・武智繁三さんがエンジン故障により37日間太平洋を標流し、生還した後にメディアの取材に対して答えた言葉である。,「おーはー」とは、ＳＭＡＰの香取慎吾扮するキャラクター「慎吾ママ」が、フジテレビ系列の人気番組で使用したことで人気がでた。
2020/08/31 2:30:27,1999/03/07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 6:15:45,2000/05/23,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 6:38:59,1999/12/30,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 8:03:55,2000/09/23,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020/08/31 8:08:10,2000/05/27,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 8:19:13,1999/09/14,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 8:20:28,1997/12/18,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020/08/31 8:50:54,2000/08/24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/08/31 10:24:26,1996/05/15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020/08/31 10:30:23,2001/01/31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
